Feature_Name,Explanation,Novelty,Plausibility,Utility,Interestingness,Real,corr,p_val,feature_importance,MutualInfoTarget,Target
missing_Essential hypertension,"Although hypertension is often part of metabolic syndrome (linked to gallbladder disease), this weak negative correlation (-0.026) is unexpected. No solid mechanism explains why higher blood pressure would protect against gallbladder disease, making it a curious but not strongly justified finding.",2,2,2,2,1,-0.026,0,0.005,0.017,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Home area population density - urban or rural_England/Wales - Village - less sparse,"An inverse relationship between more populous areas and gallbladder disease is novel; one might assume urban lifestyles (unhealthy diets, stress) could increase risk. The mechanism is unclear, and confounders like access to care, dietary patterns, or social factors could be at play, limiting direct utility.",3,2,2,2,1,-0.013,0,0.004,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Skin colour_Very fair,"No recognized biological pathway links skin pigmentation directly to gallbladder disease. While novel, it's implausible that very fair skin is protective or risk-modifying for gallbladder disease without a known mechanism.",3,1,1,2,1,0.008,0,0.001,0.001,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Actinic keratosis,"Actinic keratosis usually indicates chronic sun damage risk. A possible positive correlation with gallbladder disease is unconventional; while it could hint at shared inflammatory or immune pathways, there's limited direct evidence for a strong mechanistic link, though it’s an intriguing avenue to explore.",3,2,2,3,0,0.003,0.948,0,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Frequency of tiredness / lethargy in last 2 weeks_Nearly every day,"Fatigue is a nonspecific symptom. While chronic inflammation or subclinical infection in gallbladder disease could cause tiredness, evidence is weak. This is modestly novel, somewhat plausible biologically, but not immediately clinically actionable.",3,3,2,3,1,0.034,0,0.006,0.002,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Apolipoprotein A Blood biochemistry,"Higher ApoA levels might reduce bile cholesterol saturation, theoretically protecting against gallstones. This is novel given limited direct evidence in gallbladder disease, yet the mechanism (lipid transport and bile composition) is plausible and could be clinically insightful if confirmed.",3,3,3,3,1,-0.031,0,0.014,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
(BC) breast cancer genetic risk,"Breast cancer genetic predispositions (e.g., BRCA) are not commonly linked to gallbladder disease. The correlation is quite novel but lacks strong mechanistic underpinnings, likely reflecting confounding (obesity, etc.).",3,2,2,2,1,0.004,0.039,0.008,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Sodium in urine,"Urinary sodium isn’t a known direct risk factor for gallstones. While diet high in sodium could correlate with other metabolic issues, any direct tie to gallbladder disease is speculative, so this is novel yet minimally plausible.",3,2,2,2,1,0.007,0.001,0.006,0.002,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Cholesterol in Medium HDL,"Exploring cholesterol subfractions (medium HDL) in gallbladder disease is under-studied, so it’s novel. However, a direct link to stone formation isn’t firmly established. If confirmed, it might refine lipid-based risk assessments.",3,2,2,2,1,-0.017,0,0.002,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
(AST) asthma genetic risk,"Asthma’s genetic risk primarily affects airways and immune pathways, not typically gallbladder pathology. This is a novel but tenuous correlation without a convincing biologic mechanism, limiting its usefulness.",3,2,2,2,1,0.005,0.002,0.004,0.002,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Major dietary changes in the last 5 years_No,"Diet is crucial in gallbladder disease, but little is known about the timing of dietary shifts. Novel if stable or unchanged eating habits correlate with higher disease risk. It’s plausible (diet composition affects bile), but the data’s strength is unclear.",3,3,2,3,1,-0.034,0,0.023,0.031,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
(HT) hypertension genetic risk,"Hypertension shares risk factors with metabolic syndrome, which can promote gallstones. Genetic overlap is plausible, but direct research is sparse. Novel, plausible, and potentially valuable for risk stratification.",3,3,3,3,1,0.008,0,0.004,0.001,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
(CED) coeliac disease genetic risk,"Coeliac disease involves autoimmune and malabsorption pathways; there’s limited direct evidence linking its genetic risk to gallbladder disease, but shared GI or inflammatory processes could exist. Moderately novel and somewhat plausible, deserving further study.",3,3,2,3,1,0.004,0.073,0.004,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
(HBA1C_DF) glycated haemoglobin genetic risk,"Diabetes risk factors and high HbA1c often increase gallstone formation by altering bile composition and gallbladder motility. A genetic angle is novel, but biologically plausible. Could be valuable for targeted prevention.",3,3,3,3,1,0.002,0.133,0.004,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Blood pressure medication","Medication for hypertension may influence metabolic syndrome components, indirectly affecting gallbladder risk. While novel, the correlation is weak. Mechanisms remain speculative, but it raises questions about medication–gallbladder interactions.",3,2,2,2,1,0.022,0,0.007,0.002,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Number of self-reported non-cancer illnesses,"A higher comorbidity burden might reflect systemic inflammation or metabolic dysfunction, raising gallbladder disease risk. This is plausible and somewhat novel, highlighting the broader health context of patients. It could have moderate clinical utility for risk assessment.",3,3,3,3,1,0.045,0,0.008,0.006,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
SHBG,"Sex Hormone Binding Globulin primarily modulates sex hormones. A negative correlation with gallbladder disease risk is novel but lacks a well-defined pathway. Minimal direct evidence, though interesting enough to warrant further inquiry.",3,2,2,2,1,-0.013,0,0.008,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Arm fat percentage (left),"Regional adiposity’s link to gallbladder disease is lesser studied, though overall obesity is known to raise risk. This is novel but plausibility is moderate—body fat distribution might matter, but a direct mechanism is uncertain.",3,3,2,3,1,0.043,0,0.081,0.001,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
(CAD) coronary artery disease genetic risk,"Negative correlation is surprising; CAD and gallbladder disease share lifestyle factors. This is very novel but biologically unclear, possibly confounded by unmeasured factors. Not strongly plausible.",4,2,2,3,1,-0.002,0.239,0.012,0.001,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
"Complications of cardiac/vascular device, implant, and graft","Association with gallbladder disease is not well-established. Novel to consider cross-talk between device complications and biliary issues, but lacks a strong mechanistic basis. Likely spurious, though it might spur broader comorbidity research.",3,2,2,2,1,0.01,0.004,0.001,0.001,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
LDL direct Blood biochemistry,"LDL typically elevates cholesterol-related disease risks, yet a negative correlation with gallbladder pathology is unusual. Novel but contradicts known link between cholesterol and gallstones, so plausibility is limited.",3,2,2,2,1,-0.003,0.023,0.002,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
A09.9 - Gastroenteritis and colitis of unspecified origin,"Acute GI infections or inflammation might affect bile flow or dietary patterns, possibly impacting gallbladder risk. Novel, but the correlation is weak. Mechanistically plausible enough to justify more research.",3,3,2,3,1,0.01,0,0.003,0.001,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
(LDL_SF) low density lipoprotein cholesterol genetic risk,"Genetic predisposition to higher LDL typically suggests more cholesterol to saturate bile, yet this is negatively correlated. Novel, but unclear biologically. Could highlight complex or indirect pathways requiring deeper study.",3,2,2,2,1,-0.007,0,0.016,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Vitamin D,"A weak negative correlation with gallbladder disease is intriguing; vitamin D has some metabolic roles, but data are sparse. It’s novel and plausible only to a small degree. Not strongly supported as a major predictor.",3,2,2,2,1,-0.019,0,0.012,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Sleep - Overall average,"Sleep’s role in inflammation and metabolism might affect gallbladder risk. Novel angle, plausible if disrupted sleep promotes metabolic dysregulation. Utility is limited by a weak correlation, but it’s an interesting holistic factor.",3,3,2,3,1,0.014,0.001,0.012,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
(AD) alzheimer's disease genetic risk,"Neurodegenerative risk and gallbladder disease risk share little obvious overlap; negative correlation is unexpected. Novel but lacks mechanistic support, likely a statistical artifact or confounding factor.",3,2,1,2,1,-0.005,0.003,0.012,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
(SCZ) schizophrenia genetic risk,"A negative correlation with gallbladder disease is surprising. Schizophrenia genetics revolve around neurobiology, not recognized gallbladder pathways. Novel, but not plausible, likely minimal utility.",3,1,1,2,1,-0.004,0.017,0.006,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Started insulin within one year diagnosis of diabetes_No,"Early insulin initiation might reflect more severe diabetes, which can affect gallbladder function. Not much literature on timing, making it novel. Moderately plausible, though correlation is weak. Could inform diabetes–gallbladder management research.",3,3,2,3,1,0.014,0,0.001,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Bipolar and major depression status_None,"Mood disorders and gallbladder risk is underexplored. Novel, but lacks direct biologic rationale. Lifestyle factors might confound. Interesting for psychosomatic research, but minimal immediate utility.",3,2,2,2,1,0.014,0,0.004,0.034,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Z90.7 - Acquired absence of genital organ(s),Suggests a possible link (possibly hormonal) between genital organ removal and higher gallbladder disease risk. Novel and moderately plausible if hormonal disruptions or underlying conditions overlap. Could have real clinical relevance if confirmed.,3,3,3,3,0,0.004,0.883,0.002,0.001,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Other specified gastritis,"Gastritis and gallbladder disease could share inflammation or diet-based etiologies. The correlation is weak, but it’s an unexplored link. Novel, somewhat plausible, limited immediate utility but invites GI synergy research.",3,3,2,3,1,0.014,0,0.003,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Townsend deprivation index at recruitment,"Socioeconomic status is a known but under-discussed factor in gallbladder disease. This is moderately novel, quite plausible (diet, access to care), and potentially useful for population-level interventions.",2,4,3,3,1,0.02,0,0.01,0.001,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Treatment/medication code | Array 0__omeprazole,"Omeprazole’s effect on bile or gut flora is not well-established. Novel correlation with gallbladder disease but no obvious mechanism. Weak correlation suggests modest interest, but might prompt further pharmacologic research.",3,2,2,2,1,0.015,0,0.004,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
(AAM) age at menopause genetic risk,"A genetic predisposition to earlier/later menopause could alter hormone profiles relevant to gallbladder function, but data are very weak. Novel but not strongly plausible, limiting significance despite a potential hormonal angle.",3,2,2,2,1,-0.005,0.004,0.007,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
M79.66 - Pain in limb (Lower leg),"Pain in the lower leg is not a standard gallbladder disease symptom. Could reflect broader systemic inflammatory or vascular issues. Novel notion, plausibility is low, but it highlights possible overlooked comorbidities.",3,2,2,2,0,0.001,0.819,0,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Acetone,"A negative correlation (ketosis marker potentially protective?) is novel but not strongly plausible. Gallbladder disease typically correlates with obesity and insulin resistance, so a ketotic state might reduce risk. Intriguing but needs more evidence.",3,2,2,2,1,-0.011,0,0.004,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Ever addicted to a behaviour or miscellanous_Yes,"Addictive behaviors can correlate with poor lifestyle choices like poor diet, usually raising gallbladder risk. If correlation is negative, it’s surprising. Novel but plausibility is uncertain; might be confounded by socioeconomics or other factors.",3,2,2,2,0,-0.001,0.672,0,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Time spend outdoors in summer_2,"Suggests more outdoor time might relate to reduced gallbladder disease, perhaps via exercise or vitamin D. Novel, plausible if it ties to overall healthier habits, though the correlation is weak. Limited direct utility yet worth exploring.",3,3,2,3,1,-0.009,0,0.003,0.003,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Acetate,"A short-chain fatty acid known to influence gut health, acetate being protective is plausible but not established for gallbladder disease. Novel angle, potentially relevant to microbiome–bile interactions. Further research needed.",3,3,2,3,1,-0.011,0.242,0.003,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
"Epilepsy, recurrent seizures, convulsions","A positive correlation is unusual; no direct link between seizures and gallbladder disease is established. Possibly novel and confounded by medication or lifestyle. Minimal plausibility, though an interesting data point for comorbidity studies.",3,2,2,2,0,0.001,0.873,0,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Behavioural and miscellaneous addictions_Something else not mentioned,"A novel idea linking lesser-known addictions to gallbladder disease, possibly through stress or lifestyle. Not strongly documented. Plausibility is limited, but it opens new directions for psychosocial risk research.",3,2,2,2,0,0.001,0.673,0,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
(ISS) ischaemic stroke genetic risk,"Suggestive overlap with metabolic syndrome might exist, but direct genetic correlation to gallbladder disease is uncharted. Novel but likely confounded by shared risk factors (obesity). Plausibility is modest, utility uncertain.",3,2,2,2,1,0.011,0,0.007,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
(POAG) primary open angle glaucoma genetic risk,No known link between glaucoma’s genetic underpinnings and gallbladder pathology. Negative correlation is highly novel but implausible. Likely spurious unless new mechanisms emerge.,3,1,1,2,1,-0.003,0.043,0.004,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Behavioural and miscellaneous addictions_A behaviour,"Neutral correlation with gallbladder disease is novel but not strongly indicative of a real link. Stress or lifestyle changes might connect them, but plausibility is minimal. Low direct clinical utility despite some curiosity value.",2,2,2,2,0,0,0.921,0,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Fed-up feelings_Yes,"Emotional distress or frustration might accompany chronic illness, but a direct link to gallbladder disease risk is speculative. Novel from a psychosomatic perspective; plausible only insofar as stress could exacerbate disease. Moderate interest.",3,2,2,2,1,0.03,0,0.006,0.019,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
(RA) rheumatoid arthritis genetic risk,"Rheumatoid arthritis involves systemic inflammation that could theoretically affect gallbladder function. Research is sparse, making it novel. The correlation is very weak, limiting plausibility, yet it remains a potential autoimmune–biliary link.",3,2,2,2,1,0.005,0.002,0.004,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Concentration of Very Large HDL Particles,"Less-studied subfraction of HDL could influence bile cholesterol saturation. Novel angle for gallbladder disease risk. Mechanistically plausible if it helps remove cholesterol from bile. Useful if confirmed, but data remain limited.",3,3,3,3,1,-0.017,0,0.001,0.001,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Degeneration of intervertebral disc,"Spinal disc issues and gallbladder disease appear unrelated at first glance. Possibly novel if shared inflammatory or mechanical factors exist. Plausibility is low, but it raises an intriguing question about systemic degenerative processes.",3,2,2,2,0,0.003,0.984,0,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Neuroticism score,"Psychological traits like neuroticism may impact stress, diet, or health behaviors. Novel in gallbladder disease context, but no strong mechanism. Weak correlation reduces immediate utility, though it hints at psychosomatic research angles.",3,2,2,2,1,0.019,0,0.006,0.002,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Concentration of Very Large VLDL Particles,"VLDL may influence triglyceride levels, which can affect bile cholesterol saturation and gallstone risk. Novel because large VLDL subfractions are rarely studied for gallbladder disease. Moderately plausible and potentially useful if further validated.",3,3,3,3,1,0.015,0,0.001,0.001,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Apolipoprotein B to Apolipoprotein A1 ratio,"This ratio reflects pro-atherogenic vs. protective lipoproteins, possibly impacting cholesterol availability for gallstones. Novel in gallbladder disease context, biologically plausible, could have moderate utility for risk stratification if validated.",3,3,3,3,1,0.015,0,0.001,0.001,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)