feature_name,cui,cui_nomenclature,cui_def,KG_Hits,sim_score,feature_level_min_kg_hits,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Feature Split,sim_score_target_feat,sim_score_target_cui,shortest_path_length
(HT) hypertension genetic risk,C0677607,Hashimoto Disease,Hashimoto Disease. An autoimmune disorder caused by the production of autoantibodies against thyroid tissue. There is progressive destruction of the thyroid follicles leading to hypothyroidism.,0,0.258,0.0,0.0,0.0,0.0456,0.0,0.033,0.0035,(HT) hypertension genetic risk,1.77,226,1.20 <= (HT) hypertension genetic risk < 1.30,0.1,0.16,2
Hip circumference,,,,0,1.0,0.0,0.0,0.0,0.0437,0.1736,-0.012,0.0,Hip circumference,1.28,924,-1.40 <= Hip circumference < -1.00,-0.11,-0.11,2
(CRC) bowel cancer genetic risk,C0009402,Colorectal Carcinoma,Colorectal Carcinoma. A malignant epithelial neoplasm that arises from the colon or rectum and invades through the muscularis mucosa into the submucosa. The vast majority are adenocarcinomas.,0,0.501,0.0,0.0,0.0,0.0362,0.1618,0.01,0.004,(CRC) bowel cancer genetic risk,1.51,490,-0.26 <= (CRC) bowel cancer genetic risk < -0.15,-0.01,-0.01,2
(VTE) venous thromboembolic disease genetic risk,C1997614,Thromboembolism of vein,Thromboembolism of vein. ,0,0.361,0.0,0.0,0.0,0.0298,0.1251,-0.017,0.0016,(VTE) venous thromboembolic disease genetic risk,1.07,5149,-2.20 <= (VTE) venous thromboembolic disease genetic risk < -0.22,0.31,0.34,2
Birth weight,C0005612,Birth Weight,Birth Weight. The mass or quantity of heaviness of an individual at BIRTH. It is expressed by units of pounds or kilograms.,0,0.866,0.0,0.0,0.0,0.0249,0.0092,-0.018,0.0,Birth weight,1.16,1083,Birth weight < -1.20,-0.13,-0.13,2
Retention of urine,C0035280,Retention (Psychology),Retention (Psychology). The persistence to perform a learned behavior (facts or experiences) after an interval has elapsed in which there has been no performance or practice of the behavior.,0,0.34,0.0,0.0,0.0,0.0243,0.0365,-0.016,0.0,Retention of urine,1.0,12264,-2.30 <= Retention of urine < 5.30,0.15,0.24,99
(CD) crohn's disease genetic risk,C1517512,Genetic Risk,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.633,0.0,0.0,0.0,0.0206,0.0391,-0.017,0.0036,(CD) crohn's disease genetic risk,1.44,278,(CD) crohn's disease genetic risk < -2.00,-0.06,-0.06,3
Circulatory disease NEC,C0135615,Proprotein Convertase 1,Proprotein Convertase 1. A CALCIUM-dependent endopeptidase that has specificity for cleavage at ARGININE that is near paired basic residues. It cleaves a variety of prohormones including PRO-OPIOMELANOCORTIN; PRORENIN; proenkephalins; prodynorphin; prosomatostatin; and PROINSULIN.,0,0.161,0.0,0.0,0.0,0.0186,0.0001,0.038,0.0,Circulatory disease NEC,1.73,260,0.30 <= Circulatory disease NEC < 2.60,0.25,0.25,2
Apolipoprotein B Blood biochemistry,C0003593,Apolipoproteins B,"Apolipoproteins B. Major structural proteins of triacylglycerol-rich LIPOPROTEINS. There are two forms, apolipoprotein B-100 and apolipoprotein B-48, both derived from a single gene. ApoB-100 expressed in the liver is found in low-density lipoproteins (LIPOPROTEINS, LDL; LIPOPROTEINS, VLDL). ApoB-48 expressed in the intestine is found in CHYLOMICRONS. They are important in the biosynthesis, transport, and metabolism of triacylglycerol-rich lipoproteins. Plasma Apo-B levels are high in atherosclerotic patients but non-detectable in ABETALIPOPROTEINEMIA.",0,0.745,0.0,0.0,0.0,0.0179,0.0,-0.045,0.0002,Apolipoprotein B Blood biochemistry,1.63,208,Apolipoprotein B Blood biochemistry < -2.00,0.04,0.04,2
Sodium in urine,C0037473,sodium,"sodium. A member of the alkali group of metals. It has the atomic symbol Na, atomic number 11, and atomic weight 23.",0,0.602,0.0,0.0,0.0,0.0172,0.3103,-0.01,0.0022,Sodium in urine,1.16,1757,Sodium in urine < -1.00,0.1,0.15,2
Concentration of Medium VLDL Particles,C0597177,Particle,Particle. An object with finite mass and size parameters.,0,0.244,0.0,0.0,0.0,0.0142,0.1179,-0.009,0.0015,Concentration of Medium VLDL Particles,0.99,12141,Concentration of Medium VLDL Particles >= -2.40,-0.03,0.16,2
(CAD) coronary artery disease genetic risk,C0010068,Coronary heart disease,Coronary heart disease. An imbalance between myocardial functional requirements and the capacity of the CORONARY VESSELS to supply sufficient blood flow. It is a form of MYOCARDIAL ISCHEMIA (insufficient blood supply to the heart muscle) caused by a decreased capacity of the coronary vessels.,0,0.598,0.0,0.0,0.0,0.0127,0.0155,0.017,0.0021,(CAD) coronary artery disease genetic risk,1.15,3479,-0.52 <= (CAD) coronary artery disease genetic risk < 0.16,0.07,0.07,2
Pulse wave reflection index,,,,0,1.0,0.0,0.0,0.0,0.0124,0.3553,0.009,0.0,Pulse wave reflection index,1.93,166,0.47 <= Pulse wave reflection index < 0.53,0.01,0.01,2
Lipoprotein A Blood biochemistry,C0065058,Lipoprotein (a),"Lipoprotein (a). A lipoprotein that resembles the LOW-DENSITY LIPOPROTEINS but with an extra protein moiety, APOPROTEIN (A) also known as APOLIPOPROTEIN (A), linked to APOLIPOPROTEIN B-100 on the LDL by one or two disulfide bonds. High plasma level of lipoprotein (a) is associated with increased risk of atherosclerotic cardiovascular disease.",0,0.818,0.0,0.0,0.0,0.0118,0.2714,0.004,0.0003,Lipoprotein A Blood biochemistry,1.09,1876,Lipoprotein A Blood biochemistry >= 0.91,0.0,0.0,2
(HDL) high density lipoprotein cholesterol genetic risk,C0023821,High Density Lipoproteins,"High Density Lipoproteins. A class of lipoproteins of small size (4-13 nm) and dense (greater than 1.063 g/ml) particles. HDL lipoproteins, synthesized in the liver without a lipid core, accumulate cholesterol esters from peripheral tissues and transport them to the liver for re-utilization or elimination from the body (the reverse cholesterol transport). Their major protein component is APOLIPOPROTEIN A-I. HDL also shuttle APOLIPOPROTEINS C and APOLIPOPROTEINS E to and from triglyceride-rich lipoproteins during their catabolism. HDL plasma level has been inversely correlated with the risk of cardiovascular diseases.",0,0.479,0.0,0.0,0.0,0.0101,0.4618,-0.005,0.004,(HDL) high density lipoprotein cholesterol genetic risk,1.0,12146,-2.80 <= (HDL) high density lipoprotein cholesterol genetic risk < 2.10,0.04,0.04,2
Acetone,C0001002,acetone,acetone. A colorless liquid used as a solvent and an antiseptic. It is one of the ketone bodies produced during ketoacidosis.,0,0.864,0.0,0.0,0.0,0.0088,0.6858,-0.002,0.0012,Acetone,1.24,275,Acetone >= 2.70,0.01,0.01,2
Average Diameter for HDL Particles,C1301886,Diameter (qualifier value),Diameter (qualifier value). The length of a straight line passing through the center of a circle or sphere and connecting two points on the circumference.,0,0.455,0.0,0.0,0.0,0.0087,0.2577,-0.01,0.0036,Average Diameter for HDL Particles,0.99,12007,-2.40 <= Average Diameter for HDL Particles < 3.60,-0.0,-0.0,2
Apolipoprotein B,C0003593,Apolipoproteins B,"Apolipoproteins B. Major structural proteins of triacylglycerol-rich LIPOPROTEINS. There are two forms, apolipoprotein B-100 and apolipoprotein B-48, both derived from a single gene. ApoB-100 expressed in the liver is found in low-density lipoproteins (LIPOPROTEINS, LDL; LIPOPROTEINS, VLDL). ApoB-48 expressed in the intestine is found in CHYLOMICRONS. They are important in the biosynthesis, transport, and metabolism of triacylglycerol-rich lipoproteins. Plasma Apo-B levels are high in atherosclerotic patients but non-detectable in ABETALIPOPROTEINEMIA.",0,0.794,0.0,0.0,0.0,0.0084,0.0001,-0.031,0.0029,Apolipoprotein B,1.95,164,Apolipoprotein B < -2.30,0.07,0.07,2
HDL cholesterol Blood biochemistry,C0023822,High Density Lipoprotein Cholesterol,"High Density Lipoprotein Cholesterol. Cholesterol which is contained in or bound to high-density lipoproteins (HDL), including CHOLESTEROL ESTERS and free cholesterol.",0,0.801,0.0,0.0,0.0,0.008,0.1071,-0.016,0.0,HDL cholesterol Blood biochemistry,1.1,3606,-2.00 <= HDL cholesterol Blood biochemistry < -0.54,0.03,0.03,2
Concentration of IDL Particles,C0086045,Mental concentration,"Mental concentration. The act or process of concentrating, focusing the attention and mental energy on a single object to the exclusion of others.",0,0.152,0.0,0.0,0.0,0.0073,0.0018,-0.016,0.0013,Concentration of IDL Particles,1.36,516,-2.70 <= Concentration of IDL Particles < -1.40,-0.0,-0.0,2
Average Diameter for VLDL Particles,C1301886,Diameter (qualifier value),Diameter (qualifier value). The length of a straight line passing through the center of a circle or sphere and connecting two points on the circumference.,0,0.421,0.0,0.0,0.0,0.0072,0.3297,0.008,0.0016,Average Diameter for VLDL Particles,1.18,221,Average Diameter for VLDL Particles >= 2.90,0.03,0.11,2
Cholesterol in Very Small VLDL,C0008377,cholesterol,"cholesterol. The principal sterol of all higher animals, distributed in body tissues, especially the brain and spinal cord, and in animal fats and oils.",0,0.461,0.0,0.0,0.0,0.0064,0.0044,-0.023,0.0015,Cholesterol in Very Small VLDL,1.56,147,-0.32 <= Cholesterol in Very Small VLDL < -0.07,0.14,0.14,2
Varicose veins of lower extremity,C0042345,Varicosity,Varicosity. Enlarged and tortuous VEINS.,0,0.725,0.0,0.0,0.0,0.0064,0.0976,0.013,0.0,Varicose veins of lower extremity,1.0,12282,-4.30 <= Varicose veins of lower extremity < 5.80,0.39,0.39,2
Benign neoplasm of colon,C0086692,Benign Neoplasm,"Benign Neoplasm. A neoplasm which is characterized by the absence of morphologic features associated with malignancy (severe cytologic atypia, tumor cell necrosis, and high mitotic rate). Benign neoplasms remain confined to the original site of growth and do not metastasize to other anatomic sites.",0,0.469,0.0,0.0,0.0,0.006,0.0991,0.011,0.0,Benign neoplasm of colon,1.0,12179,-2.30 <= Benign neoplasm of colon < 4.40,-0.04,-0.04,2
Apolipoprotein B to Apolipoprotein A1 ratio,C0003593,Apolipoproteins B,"Apolipoproteins B. Major structural proteins of triacylglycerol-rich LIPOPROTEINS. There are two forms, apolipoprotein B-100 and apolipoprotein B-48, both derived from a single gene. ApoB-100 expressed in the liver is found in low-density lipoproteins (LIPOPROTEINS, LDL; LIPOPROTEINS, VLDL). ApoB-48 expressed in the intestine is found in CHYLOMICRONS. They are important in the biosynthesis, transport, and metabolism of triacylglycerol-rich lipoproteins. Plasma Apo-B levels are high in atherosclerotic patients but non-detectable in ABETALIPOPROTEINEMIA.",0,0.692,0.0,0.0,0.0,0.0058,0.0078,-0.026,0.0046,Apolipoprotein B to Apolipoprotein A1 ratio,1.68,333,Apolipoprotein B to Apolipoprotein A1 ratio < -2.00,0.01,0.01,2
Fluid intelligence score,,,,0,1.0,0.0,0.0,0.0,0.0058,0.6977,0.005,0.0,Fluid intelligence score,1.26,198,Fluid intelligence score < -2.80,-0.05,-0.05,2
Medium and low fat cheese,C0010454,Culture Media,"Culture Media. Any liquid or solid preparation made specifically for the growth, storage, or transport of microorganisms or other types of cells. The variety of media that exist allow for the culturing of specific microorganisms and cell types, such as differential media, selective media, test media, and defined media. Solid media consist of liquid media that have been solidified with an agent such as AGAR or GELATIN.",0,0.306,0.0,0.0,0.0,0.0053,0.4932,-0.007,0.0008,Medium and low fat cheese,1.08,1419,Medium and low fat cheese < -0.40,-0.06,-0.01,2
Average Diameter for LDL Particles,C1301886,Diameter (qualifier value),Diameter (qualifier value). The length of a straight line passing through the center of a circle or sphere and connecting two points on the circumference.,0,0.466,0.0,0.0,0.0,0.0051,0.029,-0.017,0.0,Average Diameter for LDL Particles,1.53,131,2.30 <= Average Diameter for LDL Particles < 2.60,0.03,0.03,2
Z82.4 - Family history of ischaemic heart disease and other diseases of the circulatory system,C0241889,Family history (finding),Family history (finding). A record of a patient's background regarding health and disease events of blood relatives. A patient's family medical history may be important in diagnosing existing conditions.,0,0.423,0.0,0.0,0.0,0.0049,0.141,0.007,0.0021,Z82.4 - Family history of ischaemic heart disease and other diseases of the circulatory system,1.67,174,-5.70 <= Z82.4 - Family history of ischaemic heart disease and other diseases of the circulatory system < -0.43,0.03,0.03,2
Concentration of Very Small VLDL Particles,C0597177,Particle,Particle. An object with finite mass and size parameters.,0,0.241,0.0,0.0,0.0,0.0046,0.0605,-0.014,0.0031,Concentration of Very Small VLDL Particles,1.56,307,Concentration of Very Small VLDL Particles < -2.40,-0.01,0.13,2
Cholesterol in Small VLDL,C0008377,cholesterol,"cholesterol. The principal sterol of all higher animals, distributed in body tissues, especially the brain and spinal cord, and in animal fats and oils.",0,0.563,0.0,0.0,0.0,0.0044,0.1015,-0.015,0.0005,Cholesterol in Small VLDL,1.63,190,-0.95 <= Cholesterol in Small VLDL < -0.61,0.14,0.14,2
Other abnormal blood chemistry,C0438258,Blood chemistry abnormal,Blood chemistry abnormal. ,0,0.929,0.0,0.0,0.0,0.0044,0.1245,0.017,0.0008,Other abnormal blood chemistry,0.98,12212,-2.60 <= Other abnormal blood chemistry < 3.70,0.07,0.07,99
Other mental disorder,C0004936,Mental disorders,"Mental disorders. Psychiatric illness or diseases manifested by breakdowns in the adaptational process expressed primarily as abnormalities of thought, feeling, and behavior producing either distress or impairment of function.",0,0.636,0.0,0.0,0.0,0.0043,0.0934,0.01,0.0022,Other mental disorder,1.39,208,1.60 <= Other mental disorder < 2.20,-0.03,-0.03,2
Other disorders of bladder,C0005682,Urinary Bladder,"Urinary Bladder. A musculomembranous sac along the URINARY TRACT. URINE flows from the KIDNEYS into the bladder via the ureters (URETER), and is held there until URINATION.",0,0.625,0.0,0.0,0.0,0.004,0.0246,0.022,0.0008,Other disorders of bladder,1.23,130,0.15 <= Other disorders of bladder < 5.30,0.1,0.1,2
Angina pectoris,C0002962,Angina Pectoris,"Angina Pectoris. The symptom of paroxysmal pain consequent to MYOCARDIAL ISCHEMIA usually of distinctive character, location and radiation. It is thought to be provoked by a transient stressful situation during which the oxygen requirements of the MYOCARDIUM exceed that supplied by the CORONARY CIRCULATION.",0,0.784,0.0,0.0,0.0,0.004,0.6515,0.01,0.0,Angina pectoris,1.55,155,Angina pectoris >= 3.60,-0.01,-0.01,2
Atrial fibrillation and flutter,C0004238,Atrial Fibrillation,"Atrial Fibrillation. Abnormal cardiac rhythm that is characterized by rapid, uncoordinated firing of electrical impulses in the upper chambers of the heart (HEART ATRIA). In such case, blood cannot be effectively pumped into the lower chambers of the heart (HEART VENTRICLES). It is caused by abnormal impulse generation.",0,0.828,0.0,0.0,0.0,0.0039,0.5123,-0.001,0.0026,Atrial fibrillation and flutter,1.56,257,-5.50 <= Atrial fibrillation and flutter < -0.09,0.02,0.02,2
Cholesterol in Small LDL,C0008377,cholesterol,"cholesterol. The principal sterol of all higher animals, distributed in body tissues, especially the brain and spinal cord, and in animal fats and oils.",0,0.582,0.0,0.0,0.0,0.0038,0.0286,-0.021,0.0009,Cholesterol in Small LDL,1.49,148,-3.60 <= Cholesterol in Small LDL < -2.80,0.03,0.03,2
Cholesterol in Large LDL,C0008377,cholesterol,"cholesterol. The principal sterol of all higher animals, distributed in body tissues, especially the brain and spinal cord, and in animal fats and oils.",0,0.659,0.0,0.0,0.0,0.0038,0.0136,-0.016,0.0058,Cholesterol in Large LDL,1.47,387,Cholesterol in Large LDL < -2.20,0.12,0.12,2
Concentration of Medium LDL Particles,,,,0,1.0,0.0,0.0,0.0,0.0036,0.0698,-0.019,0.0063,Concentration of Medium LDL Particles,1.79,179,-1.40 <= Concentration of Medium LDL Particles < -1.10,0.04,0.08,2
Gastritis and duodenitis,C0017152,Gastritis,"Gastritis. Inflammation of the GASTRIC MUCOSA, a lesion observed in a number of unrelated disorders.",0,0.733,0.0,0.0,0.0,0.0034,0.0349,0.022,0.0,Gastritis and duodenitis,1.4,236,Gastritis and duodenitis >= 2.90,-0.0,-0.0,2
Coffee intake,C0009237,Coffee,Coffee. A beverage made from ground COFFEA beans (SEEDS) infused in hot water. It generally contains CAFFEINE and THEOPHYLLINE unless it is decaffeinated.,0,0.631,0.0,0.0,0.0,0.0031,0.7806,-0.004,0.0028,Coffee intake,1.28,477,1.70 <= Coffee intake < 2.70,-0.02,-0.02,2
Osteoarthrosis NOS,C0029408,Degenerative polyarthritis,"Degenerative polyarthritis. A progressive, degenerative joint disease, the most common form of arthritis, especially in older persons. The disease is thought to result not from the aging process but from biochemical changes and biomechanical stresses affecting articular cartilage. In the foreign literature it is often called osteoarthrosis deformans.",0,0.79,0.0,0.0,0.0,0.003,0.2156,-0.003,0.0033,Osteoarthrosis NOS,0.99,12187,-0.53 <= Osteoarthrosis NOS < 1.40,0.08,0.08,2
Urinary tract infection,C0042029,Urinary tract infection,Urinary tract infection. Inflammatory responses of the epithelium of the URINARY TRACT to microbial invasions. They are often bacterial infections with associated BACTERIURIA and PYURIA.,0,0.876,0.0,0.0,0.0,0.0029,0.0534,0.017,0.0,Urinary tract infection,1.22,335,0.12 <= Urinary tract infection < 5.10,0.03,0.12,2
Cardiomegaly,C0018800,Cardiomegaly,"Cardiomegaly. Enlargement of the HEART, usually indicated by a cardiothoracic ratio above 0.50. Heart enlargement may involve the right, the left, or both HEART VENTRICLES or HEART ATRIA. Cardiomegaly is a nonspecific symptom seen in patients with chronic systolic heart failure (HEART FAILURE) or several forms of CARDIOMYOPATHIES.",0,0.81,0.0,0.0,0.0,0.0024,0.0294,0.029,0.0006,Cardiomegaly,0.99,12283,-4.20 <= Cardiomegaly < 0.40,0.08,0.08,2
Dysphagia,C0011168,Deglutition Disorders,Deglutition Disorders. Difficulty in SWALLOWING which may result from neuromuscular disorder or mechanical obstruction. Dysphagia is classified into two distinct types: oropharyngeal dysphagia due to malfunction of the PHARYNX and UPPER ESOPHAGEAL SPHINCTER; and esophageal dysphagia due to malfunction of the ESOPHAGUS.,0,0.73,0.0,0.0,0.0,0.0023,0.4462,0.001,0.0,Dysphagia,1.0,12310,Dysphagia < 2.40,-0.01,-0.01,2
"Symptoms concerning nutrition, metabolism, and development",C0683368,Symptoms aspect,Symptoms aspect. ,0,0.415,0.0,0.0,0.0,0.0022,0.0654,0.029,0.0,"Symptoms concerning nutrition, metabolism, and development",0.99,12172,"-0.51 <= Symptoms concerning nutrition, metabolism, and development < 1.00",-0.08,-0.08,99
Other symptoms/disorders or the urinary system,C1508753,Urinary system,Urinary system. The organs involved in the creation and excretion of urine.,0,0.675,0.0,0.0,0.0,0.0022,0.3505,-0.009,0.0033,Other symptoms/disorders or the urinary system,1.0,12200,-1.10 <= Other symptoms/disorders or the urinary system < 2.50,0.13,0.13,3
Other peripheral nerve disorders,C4721453,Peripheral Nervous System Diseases,"Peripheral Nervous System Diseases. Diseases of the peripheral nerves external to the brain and spinal cord, which includes diseases of the nerve roots, ganglia, plexi, autonomic nerves, sensory nerves, and motor nerves.",0,0.86,0.0,0.0,0.0,0.0018,0.4708,-0.005,0.0018,Other peripheral nerve disorders,1.0,12181,Other peripheral nerve disorders < 0.19,0.2,0.2,2
Other non-epithelial cancer of skin,C0444099,Skin Specimen,Skin Specimen. ,0,0.466,0.0,0.0,0.0,0.0017,0.5039,0.004,0.0024,Other non-epithelial cancer of skin,1.0,12251,Other non-epithelial cancer of skin >= -0.61,0.1,0.1,2
Duodenitis,C0013298,Duodenitis,"Duodenitis. Inflammation of the DUODENUM section of the small intestine (INTESTINE, SMALL). Erosive duodenitis may cause bleeding in the UPPER GI TRACT and PEPTIC ULCER.",0,0.777,0.0,0.0,0.0,0.0017,0.1705,-0.016,0.0,Duodenitis,0.99,12266,-1.60 <= Duodenitis < 5.90,-0.01,-0.01,2
Back pain,C0004604,Back Pain,Back Pain. Acute or chronic pain located in the posterior regions of the THORAX; LUMBOSACRAL REGION; or the adjacent regions.,0,0.847,0.0,0.0,0.0,0.0015,0.2173,0.012,0.0,Back pain,1.0,12279,Back pain < 0.13,0.09,0.11,2
Cholesterol in Medium VLDL,C0008377,cholesterol,"cholesterol. The principal sterol of all higher animals, distributed in body tissues, especially the brain and spinal cord, and in animal fats and oils.",0,0.506,0.0,0.0,0.0,0.0009,0.0037,-0.027,0.0,Cholesterol in Medium VLDL,1.26,811,-2.20 <= Cholesterol in Medium VLDL < -0.67,0.16,0.18,2
Osteoporosis NOS,C0029456,Osteoporosis,"Osteoporosis. Reduction of bone mass without alteration in the composition of bone, leading to fractures. Primary osteoporosis can be of two major types: postmenopausal osteoporosis (OSTEOPOROSIS, POSTMENOPAUSAL) and age-related or senile osteoporosis.",0,0.762,0.0,0.0,0.0,0.0008,0.0111,0.011,0.0013,Osteoporosis NOS,0.99,12331,-0.07 <= Osteoporosis NOS < 6.10,0.12,0.12,2
