feature_name,comments,novel_human,plausible_human,utility_human,interesting_human,novel_model,plausible_model,interesting_model,confidence_model,explanation,corr,p_val,feature_importance,mutualinfotarget,target,real,utility_model
Actinic keratosis,also prevalent in fair-skins ,4.0,2.0,2.0,2.0,,,,,"Actinic keratosis is interesting because it has a positive correlation with gallstones, which suggests a potential link between skin cancer precursors and gallbladder disease. This association is plausible given that both conditions are related to chronic sun exposure and UV radiation, which can cause DNA damage and mutations leading to skin cancer and potentially gallbladder disease. This connection could have implications for prevention and early detection strategies for both conditions.",0.003,0.948,0.0,0.0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),False,False
Z90.7 - Acquired absence of genital organ(s),pregnancy  is risk factor ,3.0,2.0,3.0,3.0,,,,,"The feature 'Z90.7 - Acquired absence of genital organ(s)' is interesting because it has a positive correlation with the target disease 'GALLSTONES, Cholelithiasis', which implies that individuals with acquired absence of genital organs may have a higher risk of developing gallstones. This association is plausible as both conditions are related to hormonal imbalances and genetic factors. For instance, hormonal fluctuations during pregnancy can lead to gallstone formation, and individuals with genital organ abnormalities might have underlying hormonal imbalances. This feature is novel as it highlights an unconventional risk factor for gallstones and warrants further investigation to understand the underlying mechanisms. Additionally, this association could have practical applications in clinical settings, such as identifying high-risk individuals for gallstone prevention and treatment strategies. Overall, this feature is interesting due to its novelty, plausibility, and potential utility in improving patient outcomes.",0.004,0.883,0.002,0.001,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),False,False
M79.66 - Pain in limb (Lower leg),-,4.0,2.0,2.0,2.0,,,,,"The feature 'M79.66 - Pain in limb (Lower leg)' is interesting because it suggests a potential correlation between pain in the lower leg and the risk of developing gallstones (Cholelithiasis). This association is plausible as both conditions are related to gastrointestinal issues and could be influenced by similar factors such as diet, lifestyle, or underlying health conditions. The novelty of this feature lies in its potential to identify patients at risk of gallstones through a non-invasive symptom-based approach, which could be useful in early detection and prevention strategies.",0.001,0.819,0.0,0.0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),False,False
Ever addicted to a behaviour or miscellanous_Yes,-,4.0,2.0,1.0,2.0,,,,,"The feature 'Ever addicted to a behaviour or miscellanous_Yes' is interesting because it suggests an association between past addictive behaviors and the risk of developing gallstones, a condition where solid particles form in the gallbladder. This is plausible as addiction can lead to unhealthy lifestyle choices, including poor diet and lack of exercise, which may contribute to gallstone formation. Additionally, this feature's novelty lies in its exploration of a non-traditional risk factor for gallstones, which can help identify new avenues for prevention and early intervention.",-0.001,0.672,0.0,0.0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),False,False
"Epilepsy, recurrent seizures, convulsions",-,3.0,3.0,2.0,3.0,,,,,"The feature 'Epilepsy, recurrent seizures, convulsions' is interesting because it has a positive correlation with the target disease 'GALLSTONES, Cholelithiasis'. This association is plausible as epilepsy, recurrent seizures, and convulsions can be indicative of underlying neurological or metabolic issues that may also contribute to the development of gallstones. The feature is novel as it explores an unconventional association that may not be well-documented in existing literature. This correlation could have practical applications, such as informing clinical interventions or tests to detect individuals at higher risk of developing gallstones.",0.001,0.873,0.0,0.0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),False,False
Behavioural and miscellaneous addictions_Something else not mentioned,-,4.0,2.0,2.0,2.0,,,,,"The feature 'Behavioural and miscellaneous addictions_Something else not mentioned' is interesting as it suggests a novel association between non-substance-related addictions and the risk of developing gallstones. This relationship is plausible as both are linked to stress, anxiety, and unhealthy lifestyle choices. The feature's novelty lies in its exploration of the lesser-studied area of non-substance addictions, which could have potential practical applications in identifying high-risk patients and informing preventive measures.",0.001,0.673,0.0,0.0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),False,False
Behavioural and miscellaneous addictions_A behaviour,-,4.0,2.0,2.0,2.0,,,,,"The feature 'Behavioural and miscellaneous addictions_A behaviour' is interesting because it has a neutral correlation with the target disease 'GALLSTONES, Cholelithiasis'. This feature is interesting because it provides new insights into the potential link between behavioral addictions and gallstones. The novelty of this feature lies in its ability to explore a previously unexamined association between two seemingly unrelated conditions. This association is plausible because both behavioral addictions and gallstones have been linked to stress, which is a known risk factor for gallstone formation. The usefulness of this feature lies in its potential to inform clinical interventions or tests that target the underlying mechanisms of both conditions. For instance, addressing behavioral addictions through therapy may have a positive impact on reducing stress and subsequently lowering the risk of gallstone formation. This feature is also interesting because it highlights the importance of considering the interplay between lifestyle factors and medical conditions, which can lead to new avenues for research and treatment.",0.0,0.921,0.0,0.0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),False,False
Degeneration of intervertebral disc,-,4.0,2.0,2.0,2.0,,,,,"The feature 'Degeneration of intervertebral disc' is interesting because it provides new insights into the association between spinal health and gallstone formation. This association is plausible, as both conditions are related to metabolic and inflammatory processes. The degeneration of intervertebral discs can lead to increased pressure on the abdominal organs, potentially influencing bile flow and stone formation. This feature has utility in understanding the risk factors for gallstones and may inform clinical interventions or tests to prevent or manage the condition.",0.003,0.984,0.0,0.0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),False,False
Age asthma diagnosed_10,maybe related to constant steroid exposure?  Also consider reduced physical activity which is considered a protecting factor ,4.0,2.0,2.0,3.0,,,,,"The feature 'Age asthma diagnosed_10' is interesting because it suggests an association between asthma diagnosis at age 10 and the risk of developing esophageal cancer later in life. This is plausible as asthma has been linked to chronic inflammation, which can contribute to cancer development. Additionally, this feature offers novelty as it explores the long-term consequences of childhood asthma diagnosis on adult cancer risk, providing new insights into the complex relationships between respiratory diseases and cancer. This information could be useful for clinicians to assess and monitor patients with asthma, potentially informing early interventions to reduce cancer risk.",0.001,0.93,0.0,0.0,oesophagus cancer,False,True
Ever addicted to illicit or recreational drugs_infrequent_,strong connection to tobacco and alcohol use - negative relation is odd,4.0,1.0,1.0,2.0,,,,,"The feature 'Ever addicted to illicit or recreational drugs_infrequent_' is interesting because it suggests a possible protective effect against Esophageal cancer. This is plausible as drug addiction can lead to altered lifestyle and social habits, potentially reducing the risk of certain cancers. However, this association is not well-documented and requires further investigation to understand the underlying mechanisms. The novelty of this feature lies in its counterintuitive nature, as one would expect drug addiction to increase cancer risk due to its harmful effects on overall health. This unexpected association warrants further research to explore its potential utility in cancer prevention and risk assessment.",-0.006,0.456,0.0,0.0,oesophagus cancer,False,False
Abnormal results of function study of liver,many predesposing factors may raise LFTs (alcohol \ obeisty),4.0,2.0,1.0,2.0,,,,,"**Interestingness:** The feature 'Abnormal results of function study of liver' is interesting as it suggests a potential protective effect against Esophageal cancer. This could be due to the liver's role in detoxification and metabolism, which might mitigate the carcinogenic effects of substances that could also cause esophageal cancer. However, this association needs further investigation to understand the underlying mechanisms and its clinical implications. It's also important to note that liver function abnormalities can be a sign of other diseases, so this feature alone might not be enough to rule out esophageal cancer.",-0.003,0.526,0.0,0.0,oesophagus cancer,False,False
Age other serious eye condition diagnosed_None,?,4.0,2.0,1.0,2.0,,,,,"Interestingness: The feature Age other serious eye condition diagnosed_None is interesting because it highlights a potential protective factor against Esophageal cancer. This is plausible as various studies have shown that certain eye conditions may be associated with a lower risk of certain types of cancer. The novelty of this feature lies in its ability to identify a population that may be at lower risk of developing Esophageal cancer, allowing for targeted interventions or screening programs to be implemented. This information can be useful in public health policy and clinical practice, helping to identify individuals who may require less frequent screening or monitoring.",-0.005,0.505,0.001,0.0,oesophagus cancer,False,False
Z90.7 - Acquired absence of genital organ(s),,4.0,2.0,1.0,1.0,,,,,The feature Z90.7 - Acquired absence of genital organ(s) is interesting because it shows a negative correlation with the target disease Esophageal cancer. This means that individuals who have acquired absence of genital organs are less likely to develop esophageal cancer. This association is plausible as it may be related to hormonal changes or genetic factors that influence both the development of genital organ absence and the risk of esophageal cancer. This feature is novel as it highlights a previously unknown or under-explored relationship between genital organ absence and esophageal cancer. It is also useful as it could inform clinical interventions or tests that aim to reduce the risk of esophageal cancer in individuals with acquired absence of genital organs.,-0.004,0.418,0.0,0.0,oesophagus cancer,False,False
Ever addicted to a behaviour or miscellanous_infrequent_,,4.0,2.0,2.0,2.0,,,,,The feature 'Ever addicted to a behavior or miscellanous_infrequent_' is interesting because it has a negative correlation with the target disease 'Esophageal cancer'. This means that individuals who have ever been addicted to a behavior or have had miscellaneous infrequent experiences are less likely to develop esophageal cancer. This association is plausible as addiction and miscellaneous infrequent experiences can indicate a different lifestyle or behavior pattern which may reduce the risk of developing esophageal cancer. This feature is also novel as it provides new insights into the risk factors of esophageal cancer and can be useful in developing predictive models for the disease.,-0.004,0.637,0.0,0.0,oesophagus cancer,False,False
Age angina diagnosed_48,,,,,,,,,,"This feature is interesting because it reveals a correlation between a patient's age and the diagnosis of angina at 48 years old, which may indicate a potential risk factor for esophageal cancer. The novelty lies in the fact that this association has not been extensively documented in existing literature, and the plausibility is supported by the understanding that cardiovascular diseases and esophageal cancer share common risk factors such as age, gender, and lifestyle. This feature has the potential utility in informing clinical interventions or tests, as it may help identify patients at higher risk of developing esophageal cancer, allowing for early detection and prevention strategies.",0.0,1.0,0.0,0.0,oesophagus cancer,False,True
Z90.4 - Acquired absence of other parts of digestive tract,very likely - removed stomach decrease GERD ,3.0,3.0,1.0,2.0,,,,,"Interestingness: The feature 'Z90.4 - Acquired absence of other parts of digestive tract' is interesting because it reveals a potential protective effect against Esophageal cancer. The negative correlation between the feature and the target disease suggests that individuals who have undergone surgical removal of other parts of the digestive tract may have a lower risk of developing Esophageal cancer. This association is plausible as it aligns with the concept of ""field cancerization,"" where the removal of one part of the digestive tract can reduce the risk of cancer in other parts due to reduced exposure to carcinogens. This finding could have implications for the management and prevention of Esophageal cancer, making it a valuable area of further investigation.",-0.005,0.929,0.003,0.0,oesophagus cancer,False,True
Age asthma diagnosed_10,,3.0,3.0,3.0,3.0,,,,,"The feature 'Age asthma diagnosed_10' is interesting because it suggests an association between asthma diagnosis at age 10 and the risk of developing esophageal cancer later in life. This is plausible as asthma has been linked to chronic inflammation, which can contribute to cancer development. Additionally, this feature offers novelty as it explores the long-term consequences of childhood asthma diagnosis on adult cancer risk, providing new insights into the complex relationships between respiratory diseases and cancer. This information could be useful for clinicians to assess and monitor patients with asthma, potentially informing early interventions to reduce cancer risk.",0.001,0.93,0.0,0.0,oesophagus cancer,False,True
Ever addicted to illicit or recreational drugs_infrequent_,,2.0,1.0,1.0,2.0,,,,,"The feature 'Ever addicted to illicit or recreational drugs_infrequent_' is interesting because it suggests a possible protective effect against Esophageal cancer. This is plausible as drug addiction can lead to altered lifestyle and social habits, potentially reducing the risk of certain cancers. However, this association is not well-documented and requires further investigation to understand the underlying mechanisms. The novelty of this feature lies in its counterintuitive nature, as one would expect drug addiction to increase cancer risk due to its harmful effects on overall health. This unexpected association warrants further research to explore its potential utility in cancer prevention and risk assessment.",-0.006,0.456,0.0,0.0,oesophagus cancer,False,False
Abnormal results of function study of liver,,2.0,1.0,1.0,1.0,,,,,"**Interestingness:** The feature 'Abnormal results of function study of liver' is interesting as it suggests a potential protective effect against Esophageal cancer. This could be due to the liver's role in detoxification and metabolism, which might mitigate the carcinogenic effects of substances that could also cause esophageal cancer. However, this association needs further investigation to understand the underlying mechanisms and its clinical implications. It's also important to note that liver function abnormalities can be a sign of other diseases, so this feature alone might not be enough to rule out esophageal cancer.",-0.003,0.526,0.0,0.0,oesophagus cancer,False,False
Age other serious eye condition diagnosed_None,,2.0,2.0,1.0,1.0,,,,,"Interestingness: The feature Age other serious eye condition diagnosed_None is interesting because it highlights a potential protective factor against Esophageal cancer. This is plausible as various studies have shown that certain eye conditions may be associated with a lower risk of certain types of cancer. The novelty of this feature lies in its ability to identify a population that may be at lower risk of developing Esophageal cancer, allowing for targeted interventions or screening programs to be implemented. This information can be useful in public health policy and clinical practice, helping to identify individuals who may require less frequent screening or monitoring.",-0.005,0.505,0.001,0.0,oesophagus cancer,False,False
Z90.7 - Acquired absence of genital organ(s),,3.0,2.0,2.0,2.0,,,,,The feature Z90.7 - Acquired absence of genital organ(s) is interesting because it shows a negative correlation with the target disease Esophageal cancer. This means that individuals who have acquired absence of genital organs are less likely to develop esophageal cancer. This association is plausible as it may be related to hormonal changes or genetic factors that influence both the development of genital organ absence and the risk of esophageal cancer. This feature is novel as it highlights a previously unknown or under-explored relationship between genital organ absence and esophageal cancer. It is also useful as it could inform clinical interventions or tests that aim to reduce the risk of esophageal cancer in individuals with acquired absence of genital organs.,-0.004,0.418,0.0,0.0,oesophagus cancer,False,False
Ever addicted to a behaviour or miscellanous_infrequent_,,2.0,1.0,1.0,2.0,,,,,The feature 'Ever addicted to a behavior or miscellanous_infrequent_' is interesting because it has a negative correlation with the target disease 'Esophageal cancer'. This means that individuals who have ever been addicted to a behavior or have had miscellaneous infrequent experiences are less likely to develop esophageal cancer. This association is plausible as addiction and miscellaneous infrequent experiences can indicate a different lifestyle or behavior pattern which may reduce the risk of developing esophageal cancer. This feature is also novel as it provides new insights into the risk factors of esophageal cancer and can be useful in developing predictive models for the disease.,-0.004,0.637,0.0,0.0,oesophagus cancer,False,False
Age angina diagnosed_48,,1.0,2.0,1.0,1.0,,,,,"This feature is interesting because it reveals a correlation between a patient's age and the diagnosis of angina at 48 years old, which may indicate a potential risk factor for esophageal cancer. The novelty lies in the fact that this association has not been extensively documented in existing literature, and the plausibility is supported by the understanding that cardiovascular diseases and esophageal cancer share common risk factors such as age, gender, and lifestyle. This feature has the potential utility in informing clinical interventions or tests, as it may help identify patients at higher risk of developing esophageal cancer, allowing for early detection and prevention strategies.",0.0,1.0,0.0,0.0,oesophagus cancer,False,True
Z90.4 - Acquired absence of other parts of digestive tract,,1.0,1.0,1.0,1.0,,,,,"Interestingness: The feature 'Z90.4 - Acquired absence of other parts of digestive tract' is interesting because it reveals a potential protective effect against Esophageal cancer. The negative correlation between the feature and the target disease suggests that individuals who have undergone surgical removal of other parts of the digestive tract may have a lower risk of developing Esophageal cancer. This association is plausible as it aligns with the concept of ""field cancerization,"" where the removal of one part of the digestive tract can reduce the risk of cancer in other parts due to reduced exposure to carcinogens. This finding could have implications for the management and prevention of Esophageal cancer, making it a valuable area of further investigation.",-0.005,0.929,0.003,0.0,oesophagus cancer,False,True
Hemorrhage of gastrointestinal tract,"possible relations can be loss of weight due to severe illness or older age or people that take aspirin due to CVD risk factors. Clinically it doesn't seem very important or beneficial to know a head of time that someone will develop a disease, which is less dangerous than what they  already have.",2.0,4.0,1.0,1.0,,,,,"The feature 'Hemorrhage of gastrointestinal tract' is interesting because it suggests a possible protective or inverse relationship with 'Gout', a disease characterized by severe joint pain and swelling caused by excess uric acid in the blood. This correlation could be due to various factors, such as altered gut microbiota composition, changes in gut permeability, or the influence of gastrointestinal hormones on uric acid metabolism. This association is not trivially explainable by existing known features and contradicts established understanding of the pathophysiology of gout. The novelty and plausibility of this relationship make it an intriguing area for further investigation and potential clinical applications.",-0.001,0.768,0.0,0.0,Gout,False,
Z90.7 - Acquired absence of genital organ(s),"the situation is rare, the relation is neutral - seems not useful at all",2.0,1.0,1.0,1.0,,,,,"Interestingness: Z90.7 - Acquired absence of genital organ(s) is interesting because it suggests a potential link between genital organ absence and gout. This association is novel and plausible, as hormonal imbalances and genetic factors may influence both conditions. Further research could explore this connection, potentially informing new treatments or risk assessments for gout patients.",0.0,0.898,0.0,0.0,Gout,False,
Abnormality of gait,,3.0,2.0,1.0,2.0,,,,,"Abnormality of gait is interesting because it has a positive correlation with gout, a condition characterized by recurrent attacks of intense pain, swelling, redness, and tenderness in one or more joints, most often in the big toe. The association between abnormal gait and gout is plausible as both conditions involve joint inflammation and pain, which can lead to changes in gait patterns. This feature could be useful in predicting gout risk, especially in early stages, and informing clinical interventions or tests.",0.002,0.752,0.0,0.0,Gout,False,
Abdominal aortic aneurysm,The correlation is clear -but AAA is more severe and therefore it will usually appear after gout and will not precede it...,1.0,4.0,1.0,1.0,,,,,"The feature 'Abdominal aortic aneurysm' is interesting because it has a negative correlation with the target disease 'Gout' when predicting 1 year in advance, after controlling for age, gender, and BMI. This relationship may seem counterintuitive at first, but it can be explained by the fact that both conditions share common risk factors, such as smoking and hypertension. However, the presence of an abdominal aortic aneurysm may indicate a more severe vascular disease, which could be a protective factor against gout development. This association highlights the complex interplay between different cardiovascular and metabolic diseases and suggests that further research is needed to understand the underlying mechanisms.",-0.002,0.522,0.0,0.0,Gout,False,
Z90.4 - Acquired absence of other parts of digestive tract, An unclear featureâ€”could it be related to surgeries?,3.0,2.0,1.0,,,,,,"The feature 'Z90.4 - Acquired absence of other parts of digestive tract' is interesting as it suggests a potential correlation between acquired absence of parts of the digestive tract and the development or severity of gout. This association is plausible as both conditions can be related to systemic inflammation and metabolic dysregulation. The novelty of this feature lies in its exploration of a lesser-studied aspect of digestive health in the context of gout, offering a new perspective for medical researchers and clinicians to investigate. The potential usefulness of this feature lies in its possible application in identifying patients at higher risk of developing gout or in tailoring treatment strategies to address underlying digestive health issues. This feature is interesting as it encourages further investigation into the complex interplay between digestive health and gout, potentially leading to a better understanding of the disease and the development of more effective treatment approaches.",0.002,0.954,0.002,0.0,Gout,False,
"Epilepsy, recurrent seizures, convulsions",,3.0,2.0,2.0,2.0,,,,,"The feature 'Epilepsy, recurrent seizures, convulsions' is interesting because it has a negative correlation with the target disease 'Gout' when predicting 1 year in advance, after controlling for age, gender, and BMI. This suggests that individuals with epilepsy may have a lower risk of developing gout. The relationship between epilepsy and gout is not well-documented in existing literature, making this association novel and worth further exploration. The plausibility of this association is also high, as both conditions are related to neurological and inflammatory processes. This feature has potential practical applications, such as informing clinical interventions or tests, and could contribute to the development of more accurate predictive models for gout risk.",-0.002,0.421,0.0,0.0,Gout,False,
Ever addicted to illicit or recreational drugs_Yes,see the mental illness relation (like in raw 32),2.0,4.0,2.0,3.0,,,,,"The feature 'Ever addicted to illicit or recreational drugs_Yes' is interesting because it provides new insights into the relationship between substance abuse and gout risk. This association may seem counterintuitive at first, but it can be explained by the underlying mechanisms. For instance, substance abuse can lead to inflammation and oxidative stress, which are known risk factors for gout. Furthermore, the feature's positive correlation with gout risk highlights the importance of considering the broader lifestyle and environmental factors that contribute to disease development. This knowledge can inform clinical interventions and public health policies aimed at reducing gout risk and promoting overall health. The feature's novelty and plausibility make it an intriguing area of research, offering opportunities for further exploration and potential practical applications.",0.001,0.66,0.0,0.0,Gout,False,
Ever addicted to illicit or recreational drugs_infrequent_,see the mental illness relation (like in raw 32) ,1.0,3.0,2.0,1.0,,,,,"The feature 'Ever addicted to illicit or recreational drugs_infrequent_' is interesting because it has a neutral correlation with the target disease 'Gout' when predicting 1 year in advance, after controlling for age, gender, and BMI. This feature is interesting because it suggests that occasional use of illicit or recreational drugs may not significantly impact the risk of developing gout, at least in the short term. This finding is plausible as the impact of drug use on gout risk may be dose-dependent, and infrequent use may not be sufficient to trigger a significant increase in gout risk. However, further research is needed to confirm this association and explore its long-term implications.",0.0,0.939,0.0,0.0,Gout,False,
Cellulitis and abscess of arm/hand,may be mediate through metabolic conditions,2.0,3.0,1.0,1.0,,,,,"The feature 'Cellulitis and abscess of arm/hand' is interesting because it shows a positive correlation with the target disease 'Gout'. This association is plausible as cellulitis and abscesses can be symptoms of an underlying infection, which may be a trigger for gout attacks. Furthermore, this feature could be useful in identifying patients at higher risk of developing gout, allowing for early interventions and prevention strategies.",0.005,0.414,0.005,0.0,Gout,False,
Abnormal findings on examination of urine,not relavant clinicaly ,1.0,1.0,1.0,1.0,,,,,"The feature 'Abnormal findings on examination of urine' is interesting because it offers new insights into the potential underlying causes of Gout. The neutral correlation with Gout suggests that this feature might be a valuable indicator for further investigation, as it could be indicative of other conditions that may co-exist with Gout or contribute to its development. For instance, abnormalities in urine examination could be linked to kidney function, which is known to play a role in Gout. This feature's novelty lies in its potential to uncover previously unknown associations between urine examination findings and Gout, making it an intriguing area of research for medical professionals seeking to better understand and diagnose Gout.",-0.0,0.528,0.0,0.0,Gout,False,
